,Unnamed: 0,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result,rep_loyalty
0,0,1988,47.62662794,50.24888688,42.883433,Ohio,1,1988,0.4761904761904762,Ohio,1,0.8
1,1,1988,40.14823623,40.84444488,41.63044983,Ohio,0,1988,0.5238095238095238,Ohio,0,0.8
2,2,1992,44.25808271,40.03935933,41.67117373,Ohio,0,1992,0.5238095238095238,Ohio,1,0.9
3,3,1992,35.69088271,38.61645667,37.90273933,Ohio,1,1992,0.4761904761904762,Ohio,0,0.9
4,4,1996,46.83120484,47.5095472,46.73105107,Ohio,0,1996,0.5263157894736843,Ohio,1,0.6
5,5,1996,37.47251065,40.2639332,37.82614217,Ohio,1,1996,0.4736842105263158,Ohio,0,0.6
6,6,2000,41.84613394,42.054195,42.91463579999999,Ohio,0,2000,0.42105263157894735,Ohio,0,0.3
7,7,2000,46.78207103,49.37725286,45.6577351,Ohio,1,2000,0.5789473684210527,Ohio,1,0.3
8,8,2004,47.68962626,47.9814155,49.19900693,Ohio,1,2004,0.5789473684210527,Ohio,1,0.5
9,9,2004,46.97789306,47.9942765,44.43415193,Ohio,0,2004,0.42105263157894735,Ohio,0,0.5
10,10,2008,48.62066513,49.60378625,45.46806783,Ohio,0,2008,0.33333333333333337,Ohio,1,0.7
11,11,2008,44.79880374,44.874726,46.70141647,Ohio,1,2008,0.6666666666666666,Ohio,0,0.7
12,12,2012,48.10900055,48.74383867,47.8742324,Ohio,0,2012,0.5555555555555556,Ohio,1,0.5
13,13,2012,46.13982839,46.96048717,45.19408717,Ohio,1,2012,0.4444444444444444,Ohio,0,0.5
14,14,2016,42.65740613,45.28069,41.97654667,Ohio,1,2016,0.75,Ohio,1,0.3
15,15,2016,43.23726484,43.04857375,41.27766133,Ohio,0,2016,0.25,Ohio,0,0.3
16,16,2020,47.09080677,47.47408333,47.61323833,Ohio,1,2020,0.75,Ohio,1,0.5
17,17,2020,46.93268968,46.89798,46.78650233,Ohio,0,2020,0.25,Ohio,0,0.5
