,Unnamed: 0,candidate_name,cycle,month_10,month_11,month_9,state,republican
0,58,George Bush,1988.0,48.29500716129033,52.39735875,42.2709893,New Jersey,1
1,59,Michael S. Dukakis,1988.0,37.64939822580645,40.28279562500001,31.9951249,New Jersey,0
2,160,Bill Clinton,1992.0,43.04550325806453,39.111969,44.057118200000005,New Jersey,0
3,161,George Bush,1992.0,31.386963354838716,32.035063666666666,36.00172413333333,New Jersey,1
4,262,Bill Clinton,1996.0,49.68481096774194,48.637142,50.94837953333333,New Jersey,0
5,263,Bob Dole,1996.0,33.1350945483871,31.496159000000002,34.56433013333333,New Jersey,1
6,364,Al Gore,2000.0,46.7144001935484,47.71088400000001,46.84372163333333,New Jersey,0
7,365,George W. Bush,2000.0,36.77490270967743,39.03373071428571,35.59728166666668,New Jersey,1
8,466,George W. Bush,2004.0,43.209571612903225,41.848388,43.74374763333334,New Jersey,1
9,467,John Kerry,2004.0,49.187701000000004,49.0823955,46.31605583333334,New Jersey,0
10,566,Barack Obama,2008.0,53.005784548387076,54.80526025,49.52007306666667,New Jersey,0
11,567,John McCain,2008.0,39.277702096774185,38.106201,42.22526386666667,New Jersey,1
12,662,Barack Obama,2012.0,52.04112635483872,52.336628166666664,51.5814102,New Jersey,0
13,663,Mitt Romney,2012.0,41.041288161290325,41.567017,39.410567033333336,New Jersey,1
14,762,Donald Trump,2016.0,36.78221548387098,38.00415,37.06306266666668,New Jersey,1
15,763,Hillary Rodham Clinton,2016.0,49.377641612903226,51.7981825,47.012706,New Jersey,0
16,864,Donald Trump,2020.0,36.544129677419356,37.69376333333333,36.146565,New Jersey,1
17,865,Joseph R. Biden Jr.,2020.0,56.49947064516129,58.81753666666666,55.38629533333334,New Jersey,0
