,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988,47.85460267,49.0002465,47.28262,Louisiana,1,1988,0.49206349206349204,Louisiana
1,Michael S. Dukakis,1988,37.74857089,39.39491975,35.22672820000001,Louisiana,0,1988,0.507936507936508,Louisiana
2,Bill Clinton,1992,38.8626641,38.91704,37.95850897,Louisiana,0,1992,0.5076923076923077,Louisiana
3,George Bush,1992,33.5802071,35.53350800000001,33.920727500000005,Louisiana,1,1992,0.4923076923076923,Louisiana
4,Bill Clinton,1996,46.66619674,46.53001939999999,46.11224773,Louisiana,0,1996,0.475,Louisiana
5,Bob Dole,1996,36.12856042,35.8217872,36.82034593,Louisiana,1,1996,0.525,Louisiana
6,Al Gore,2000,38.57373539,39.40513586,36.66221447,Louisiana,0,2000,0.4827586206896552,Louisiana
7,George W. Bush,2000,44.10569329,47.641636,41.7962556,Louisiana,1,2000,0.5172413793103449,Louisiana
8,George W. Bush,2004,51.79640548,52.3142025,53.6732908,Louisiana,1,2004,0.5357142857142857,Louisiana
9,John Kerry,2004,36.43924906,36.2234305,34.54232243,Louisiana,0,2004,0.4642857142857143,Louisiana
10,Barack Obama,2008,41.18369758,41.98614475,39.02263003,Louisiana,0,2008,0.6666666666666667,Louisiana
11,John McCain,2008,51.69321874,52.08294425,53.56106837,Louisiana,1,2008,0.3333333333333333,Louisiana
12,Barack Obama,2012,36.46991213,36.67589267,38.76882873,Louisiana,0,2012,0.33333333333333337,Louisiana
13,Mitt Romney,2012,54.78187245,55.67020933,45.96209473,Louisiana,1,2012,0.6666666666666666,Louisiana
14,Donald Trump,2016,48.62045419,50.06545625,49.14239233,Louisiana,1,2016,0.36,Louisiana
15,Hillary Rodham Clinton,2016,36.39906,36.91077,35.66291467,Louisiana,0,2016,0.64,Louisiana
16,Donald Trump,2020,54.16755097,57.68870667,52.529729,Louisiana,1,2020,0.3636363636363637,Louisiana
17,Joseph R. Biden Jr.,2020,38.99313935,36.96276,39.813826,Louisiana,0,2020,0.6363636363636362,Louisiana
