,Unnamed: 0,candidate_name,cycle,month_10,month_11,month_9,state,republican
0,24,George Bush,1988.0,54.44710470967742,55.78406500000001,52.86450043333334,Indiana,1
1,25,Michael S. Dukakis,1988.0,34.97883119354839,34.25547225,36.11725173333333,Indiana,0
2,126,Bill Clinton,1992.0,36.74463338709678,34.34497966666667,37.96808593103447,Indiana,0
3,127,George Bush,1992.0,40.641421258064526,40.803331,46.27484824137931,Indiana,1
4,228,Bill Clinton,1996.0,39.911336322580645,38.696434,39.9054985,Indiana,0
5,229,Bob Dole,1996.0,41.005815193548386,41.06741000000001,40.721718900000006,Indiana,1
6,330,Al Gore,2000.0,34.41150583870967,33.89558614285714,37.08185556666667,Indiana,0
7,331,George W. Bush,2000.0,47.562707,54.16990242857143,46.50933896666667,Indiana,1
8,432,George W. Bush,2004.0,57.259096645161286,57.380412,55.55813726666668,Indiana,1
9,433,John Kerry,2004.0,35.65742016129032,37.14813350000001,35.233629866666654,Indiana,0
10,532,Barack Obama,2008.0,45.92987590322582,46.90495824999999,44.38189086666666,Indiana,0
11,533,John McCain,2008.0,46.966307387096776,47.87179999999999,47.99939273333334,Indiana,1
12,630,Barack Obama,2012.0,41.088073,41.917964000000005,40.884019266666655,Indiana,0
13,631,Mitt Romney,2012.0,52.706401548387106,53.303826,49.93339563333333,Indiana,1
14,728,Donald Trump,2016.0,46.02879451612904,49.777885,47.33826566666666,Indiana,1
15,729,Hillary Rodham Clinton,2016.0,37.84219645161289,37.767555,35.89693433333333,Indiana,0
16,830,Donald Trump,2020.0,51.91274903225806,52.29236333333333,53.29434200000001,Indiana,1
17,831,Joseph R. Biden Jr.,2020.0,41.0857922580645,41.97169333333333,38.885418,Indiana,0
