,Unnamed: 0,candidate_name,cycle,month_10,month_11,month_9,state,republican
0,62,George Bush,1988.0,43.35256241935484,46.179125625,41.901752,New York,1
1,63,Michael S. Dukakis,1988.0,46.562605870967744,45.704897499999994,48.0462133,New York,0
2,164,Bill Clinton,1992.0,51.278121064516135,48.00412033333333,47.91303476666666,New York,0
3,165,George Bush,1992.0,28.637332903225808,28.753226,32.25109703333333,New York,1
4,266,Bill Clinton,1996.0,55.54057474193547,54.7126482,55.94429873333333,New York,0
5,267,Bob Dole,1996.0,29.650379129032252,28.791753600000003,31.017683433333332,New York,1
6,368,Al Gore,2000.0,53.85523312903226,52.650721714285716,53.61169273333334,New York,0
7,369,George W. Bush,2000.0,33.12396283870968,35.699193,32.31492653333334,New York,1
8,470,George W. Bush,2004.0,37.17366422580645,37.9575305,38.71613536666667,New York,1
9,471,John Kerry,2004.0,53.74432406451614,54.861957499999995,51.41360410000002,New York,0
10,570,Barack Obama,2008.0,58.66503116129033,61.51781550000001,52.82421493333334,New York,0
11,571,John McCain,2008.0,34.39229416129032,33.329332,38.5062194,New York,1
12,666,Barack Obama,2012.0,59.34737374193547,59.86475316666667,59.28468766666667,New York,0
13,667,Mitt Romney,2012.0,35.963904516129034,36.13141383333333,34.64244673333334,New York,1
14,766,Donald Trump,2016.0,32.218153225806454,33.976975,33.525467,New York,1
15,767,Hillary Rodham Clinton,2016.0,52.192752903225795,53.67475375,50.36933966666666,New York,0
16,868,Donald Trump,2020.0,31.728330645161282,32.647236666666664,33.39495333333333,New York,1
17,869,Joseph R. Biden Jr.,2020.0,62.10825483870968,62.50702666666666,60.14931066666666,New York,0
