,Unnamed: 0,candidate_name,cycle,month_10,month_11,month_9,state,republican
0,22,George Bush,1988.0,45.81344893548387,47.714759875,43.75238156666668,Illinois,1
1,23,Michael S. Dukakis,1988.0,44.41209848387096,44.87497025,47.63822743333333,Illinois,0
2,124,Bill Clinton,1992.0,46.450894,44.77122,46.14818816666668,Illinois,0
3,125,George Bush,1992.0,29.530370096774192,32.89091533333333,33.097508999999995,Illinois,1
4,226,Bill Clinton,1996.0,51.74532529032258,50.4154846,52.61919323333333,Illinois,0
5,227,Bob Dole,1996.0,33.03196506451612,34.6148674,32.743182,Illinois,1
6,328,Al Gore,2000.0,45.57390974193547,46.43526285714286,47.28545783333333,Illinois,0
7,329,George W. Bush,2000.0,39.31142225806453,41.784209714285716,37.945152666666665,Illinois,1
8,430,George W. Bush,2004.0,41.15416267741935,42.788786,42.23683096666668,Illinois,1
9,431,John Kerry,2004.0,51.2399964516129,52.137962,48.579464,Illinois,0
10,530,Barack Obama,2008.0,56.17357022580646,59.5191355,54.01813293333334,Illinois,0
11,531,John McCain,2008.0,36.66772570967742,36.88090225000001,38.58731650000001,Illinois,1
12,628,Barack Obama,2012.0,53.997136935483866,55.72174683333333,53.66088103333334,Illinois,0
13,629,Mitt Romney,2012.0,37.33339887096775,39.241888,34.89111026666667,Illinois,1
14,726,Donald Trump,2016.0,33.04062258064516,36.57578875,33.879105,Illinois,1
15,727,Hillary Rodham Clinton,2016.0,50.11985451612904,50.862815000000005,47.91769100000001,Illinois,0
16,828,Donald Trump,2020.0,38.77779741935485,39.72775333333335,39.818106666666665,Illinois,1
17,829,Joseph R. Biden Jr.,2020.0,55.64252096774194,54.94337666666666,52.91033666666666,Illinois,0
